# Inform Sue when adding setupset or runtime directives; update Etomo column when support added; almost everything is Tmplt,,,,,,,Label REQUIRED unless bug fixed,
Batch/Template Directives,,,,,,,,
Directives for Batch Processing and Template Files,,,,,,,,
Directive,Definition,Type,Batch,Tmplt,Etomo,Notes,Label,Choices
,,,,,,,,
Tomogram Combination,,,,,,,,
runtime.Combine.any.matchAtoBThickRatio,Criterion ratio of B to A thickness for matching A to B,Float,Y,Y,NE,Default 0.9; use < 0.2 to match B to A or > 5 for A to B,B/A thickness ratio for matching A to B,
runtime.Combine.any.findSecBoxSize,Box size for running Findsection on tomograms,Int,Y,Y,NE,BRT default 32,Box size for finding section extent,
runtime.Combine.any.findSecNumScales,Number of scales to analyze when running Findsection,Int,Y,Y,NE,BRT default 4,# of scales to analyze in Findsection,
runtime.Combine.any.patchSize,Starting patch size for patch correlations,String,Y,Y,,Use single letter (S M L E); avoid size (default M),Starting size for patch correlations,
runtime.Combine.any.finalPatchSize,Final size for patch correlations,String,Y,Y,,Use single letter (S M L E) or size in X-Y-Z (default E),Final size for patch correlations,
runtime.Combine.any.extraTargets,Extra residual targets for final trial,String,Y,Y,,BRT default 0.4 0.45 (with a comma!),Extra residual targets for final trial,
runtime.Combine.any.wedgeReduction,Fraction to reduce amplitudes in missing wedge regions,Float,Y,Y,,,Reduction fraction in missing wedge,
runtime.Combine.any.lowFromBothRadius,Fourier radius below which to take components from both tomograms,Float,Y,Y,,,Take data from both below radius,
runtime.Combine.any.doSIRTifBoth,1 to combine SIRT or SIRT-like reconstructions if BP was done also,Int,Y,Y,NE,,1 to combine SIRT(-like) if BP also done,0: combine BP if both; 1: combine SIRT(-like) if both
comparam.solvematch.solvematch.MaximumResidual,Maximum error when fitting to corresponding points,Float,Y,Y,,,Max error in fit to corresponding points,
comparam.dualvolmatch.dualvolmatch.MaximumResidual,Error in fit to patch vectors that makes it fall back to preliminary transform ,Float,Y,Y,,,Max error in initial fit to patches,
comparam.patchcorr.corrsearch3d.KernelSigma,Sigma for kernel filter in patch correlations,Float,Y,Y,,BRT default 1.45,Sigma for kernel filter,
comparam.matchorwarp.matchorwarp.RefineLimit,Mean residual limit for using linear fit and transformation,Float,Y,Y,,,Mean residual limit for linear fit,
comparam.matchorwarp.matchorwarp.WarpLimits,Series of mean residual limits for Findwarp try to reach with warping,String,Y,Y,,,Mean residual limits for warping,
,,,,,,,,
Postprocessing,,,,,,,,
runtime.Postprocess.any.doTrimvol,Run Trimvol on the reconstruction,Bool,Y,Y,NE,runtime.Trimvol directives are ignored if this is 0,,
runtime.Trimvol.any.findSecAddThickness,Fraction or # of pixels to add to Findsection Z extent,Float,Y,Y,NE,For plastic sections only,Find thickness; add fraction or # of slices,
runtime.Trimvol.any.reorient,Reorientation in trimvol (0 none; 1 flip; 2 rotate),Int,Y,Y,NE,BRT default is 2,Reorientation to apply in Trimvol,0: None; 1: Flip Y & Z; 2: Rotate around X
runtime.Trimvol.any.thickness,Fraction or # of slices to trim thickness to,Float,Y,Y,NE,May not be entered with findSecAddThickness,Fraction or # of slices to trim to in Z,
runtime.Trimvol.any.sizeInX,Fraction or # of pixels to trim to in X,Float,Y,Y,NE,,Fraction or # of pixels to trim to in X,
runtime.Trimvol.any.sizeInY,Fraction or # of pixels to trim to in Y,Float,Y,Y,NE,,Fraction or # of pixels to trim to in Y,
runtime.Trimvol.any.scaleFromX,Fraction or # of pixels in X to use to set scaling to bytes,Float,Y,Y,NE,BRT default is 0.8,Frac or # of pixels in X for byte scaling,
runtime.Trimvol.any.scaleFromY,Fraction or # of pixels in Y to use to set scaling to bytes,Float,Y,Y,NE,BRT default is 0.8,Frac or # of pixels in Y for byte scaling,
runtime.Trimvol.any.scaleFromZ,Fraction or # of slices in Z to use to set scaling to bytes,Float,Y,Y,NE,BRT default is 0.33,Frac or # of slices in Z for byte scaling,
runtime.Trimvol.any.scaleToMeanSD,Mean and standard deviation to scale to for converting to bytes,2 Float,Y,Y,NE,Scale to given mean/SD instead of using Findcontrast,Mean and SD for byte scaling,
runtime.Trimvol.any.doAorBofDualAxis,Trim a/b.rec of dual axis set,Bool,Y,Y,NE,,Trim a/b.rec of dual axis set,
runtime.Trimvol.any.doSIRTifBoth,1 to trim SIRT/SIRT-like or 2 to trim both if BP done also,Int,Y,Y,NE,,Which to trim if BP and SIRT(-like) exist,0: BP only; 1: SIRT(-like) only; 2: Both
runtime.NAD.any.iterations,Number of iterations for running NAD,Int,Y,Y,NE,Both iterations and Kvalue must be entered,Number of NAD iterations to run,
runtime.NAD.any.Kvalue,K value to use when running NAD,Float,Y,Y,NE,,K value for running NAD,
runtime.NAD.any.chunkMemoryMB,Memory available for each chunk in MB,Int,Y,Y,NE,BRT default 512,Memory available for each chunk in MB,
,,,,,,,,
Data Set Cleanup,,,,,,,,
runtime.Cleanup.any.doCleanup,Run Tomocleanup on the data set,Bool,Y,Y,NE,,Run Tomocleanup on the data set,
runtime.Cleanup.any.keepAligned,Keep final aligned stack ,Bool,Y,Y,NE,,Keep final aligned stack ,
runtime.Cleanup.any.keepUntrimmed,Keep untrimmed reconstruction even if Trimvol is run,Bool,Y,Y,NE,,Keep untrimmed rec even if trimmed,
runtime.Cleanup.any.keepAxis,Keep single axis reconstructions even if Combine finished,Bool,Y,Y,NE,,Keep single axis recs even if combined,
runtime.Cleanup.any.keepSIRT,Keep SIRT or SIRT-like reconstructions when back-projection also done,Bool,Y,Y,NE,BRT default is to keep these,Keep unused SIRT or SIRT-like recs,
,,,,,,,,
External Commands,,,,,,,,
runtime.ReplaceStep.any.9,Command to run in place of Ctfplotter,String,Y,Y,NE,,Command to run instead of Ctfplotter,
runtime.RunAfterStep.any.9,Command to run after Ctfplotter,String,Y,Y,NE,,Command to run after Ctfplotter,
runtime.ReplaceStep.any.13,Command to run in place of Mtffilter,String,Y,Y,NE,,Command to run instead of Mtffilter,
runtime.RunAfterStep.any.13,Command to run after Mtffilter,String,Y,Y,NE,,Command to run after Mtffilter,
runtime.ReplaceStep.any.20,Command to run in place of Trimvol,String,Y,Y,NE,,Command to run instead of Trimvol,
runtime.RunAfterStep.any.20,Command to run after Trimvol,String,Y,Y,NE,,Command to run after Trimvol,
